SMILES,multi,class
C=O,1,1
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,0,0
OC(=O)c1cccc(Cl)c1Cl,2,1
CC(=O)Oc1ccccc1C(O)=O,0,0
Cc1ccc(C(O)=O)c(O)c1,2,1
CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,0,0
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,0,0
c1ccc2[nH]cnc2c1,0,0
CN1[C@@H]2C[C@H](C[C@H]1[C@@H]1O[C@@H]12)OC(=O)[C@H](CO)c1ccccc1,1,1
NCCc1ccc(O)cc1,0,0
OCC(Br)(CO)[N+]([O-])=O,1,1
N[C@@H](CS)C(O)=O,0,0
NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1O,0,0
CN1CCC[C@H]1c1cccnc1,1,1
Oc1ccccc1C(=O)O[Na],2,1
Clc1ccc(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)Nc2ccc(Cl)cc2)cc1,1,1
[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,0,0
NCCCC(O)=O,0,0
NCCCNCCCN,1,1
ClC(Cl)(Cl)Cl,2,1
[Cl-].CC[N+](CC)(CC)CC,2,1
[Cl-].CC[N+](CC)(CC)Cc1ccccc1,2,1
COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,2,1
OCC(O)CO,0,0
NC(CC(O)=O)C(O)=O,0,0
NC(CCC(O)=O)C(O)=O,0,0
NC(CSSCC(N)C(O)=O)C(O)=O,0,0
[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C,0,0
CCCCCCCCCCCCCCCC(O)=O,0,0
CCCCCCCCCCCCCCCCCC(O)=O,0,0
NC(N)=O,2,1
CC(C)(O)C(Cl)(Cl)Cl,2,1
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0,0
CN1C(=O)N(C)c2ncn(C)c2C1=O,0,0
CN1C(=O)N(C)c2nc[nH]c2C1=O,0,0
Cl.Cc1ncc(CO)c(CO)c1O,1,1
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1,0,0
CNC[C@H](O)c1cccc(O)c1,0,0
Cc1cc(O)ccc1Cl,1,1
